params,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.9782160776094416,0.00022848844934855148,0.8411748161283981,0.004217122135591854,1
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.9896784910939942,0.0004695818729076772,0.8402373845065985,0.004677866444844353,2
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",1.0,4.965068306494546e-17,0.839949416855885,0.0028035875724815424,3
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.9610947248341564,0.00040784309445314254,0.8399092148509245,0.005022347411031734,4
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.9600650858651589,0.000539676190208526,0.8390380362177157,0.0041297580636105065,5
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.9770421257356732,0.000401769860135006,0.8388598405859566,0.003249709424528231,6
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.9889973353237151,0.0006083523217197298,0.8384871060952557,0.005062861033849087,7
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",1.0,4.965068306494546e-17,0.8355620670741061,0.0026496732017558,8
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.9575641386798152,0.0010770101354198112,0.8354779817123499,0.00530082394561344,9
"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.9874615196339956,0.0007123010255025274,0.8348385683774293,0.0063779175148632175,10
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.9748307226467963,0.0007094079801668814,0.834743357574449,0.0025056579299670197,11
"{'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.9999999181789748,1.636420502104663e-07,0.8293114220998892,0.0038783888586844434,12
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 200}",0.8651994891926883,0.0004884342604554551,0.8259978921139576,0.005483769300615876,13
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 200}",0.8644137881275021,0.000582713720252134,0.8257924478407169,0.005848253002784177,14
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.8628300251850918,0.00036424134383803916,0.8247280814637185,0.005757234996026752,15
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.8633076560328095,0.0003352495994006403,0.8242869606595912,0.005525209112307327,16
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.8615520448670099,0.0010557612021841137,0.8225810736912816,0.005866146637625151,17
"{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.8622437643623915,0.0008325685065618852,0.8221052809712044,0.005984525396873667,18
