Feature,Coefficient,Absolute Coefficient
age,10.347698005034811,10.347698005034811
bmi,5.849750574177297,5.849750574177297
diabetes,1.1506026693516687,1.1506026693516687
resting_ecg_Normal,-0.8201517021269161,0.8201517021269161
num_major_vessels,0.7992780510463364,0.7992780510463364
thalassemia_Normal,-0.72759624495376,0.72759624495376
resting_ecg_ST-T Abnormality,-0.6518630529720884,0.6518630529720884
exercise_angina,0.6304911456278278,0.6304911456278278
resting_bp,0.6263459683183803,0.6263459683183803
st_slope_Up,-0.5504413682893929,0.5504413682893929
max_heart_rate,-0.5192375979549375,0.5192375979549375
chest_pain_type_Atypical Angina,-0.42787193384774225,0.42787193384774225
alcohol_consumption_Non-drinker,0.42436352747538025,0.42436352747538025
st_slope_Flat,-0.4235827824391218,0.4235827824391218
oldpeak,-0.40430801776122627,0.40430801776122627
chest_pain_type_Non-anginal Pain,-0.3730084786849272,0.3730084786849272
physical_activity,0.37045809478760844,0.37045809478760844
stress_level,0.2386768643345438,0.2386768643345438
fasting_blood_sugar,0.22700008551660103,0.22700008551660103
smoking_status_Former,-0.2175150875077402,0.2175150875077402
gender_Male,-0.15717718102589526,0.15717718102589526
chest_pain_type_Typical Angina,-0.09249618755790374,0.09249618755790374
alcohol_consumption_Moderate,0.043501292359983415,0.043501292359983415
thalassemia_Reversible Defect,-0.015021211223893141,0.015021211223893141
smoking_status_Never,0.014315278221758503,0.014315278221758503
family_history,-0.006069283249632067,0.006069283249632067
